scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,144.27608909999253,0.012620091438293457,6.859387673933777,-21.600990768066154
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,21.172133599990048,0.01330899354070425,7.098460542601414,-21.139336508396305
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,152.60560420001275,0.012630793265998363,6.878847273698639,-21.593628351996358
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,26.048775499977637,0.01343223825097084,7.3989815812435875,-21.059273003750953
12,fake_and_real_lemons,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,167.25639009999577,0.012736593373119831,7.072231970818651,-21.521174897529782
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,29.720682000013767,0.022283678874373436,15.391622586794007,-16.8364051859933
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,62.94656360000954,0.02016095444560051,13.558145154044634,-17.705921659579406
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,10.373714100016514,0.02228362299501896,15.390307003861858,-16.83642705072114
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,63.35585809999611,0.020161544904112816,13.556324587286941,-17.70566695595511
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,10.265539700019872,0.022284962236881256,15.401897134507063,-16.835905060400833
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,60.9987025000155,0.020160196349024773,13.564055477192259,-17.706247930988216
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,10.107018499984406,0.022321784868836403,15.85339973838318,-16.821564935302312
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,64.9339010999829,0.020072076469659805,13.968574322554517,-17.744297375623876
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,10.629756800015457,0.02239621803164482,15.971830182847857,-16.792649851934087
13,fake_and_real_peppers,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,62.346453500009375,0.020173760131001472,13.96390337419508,-17.70040594630811
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,24.24388920000638,0.01677742786705494,10.202469688361234,-18.602393736272965
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,62.623100500000874,0.01596398465335369,9.424937392342514,-19.034075556438413
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,10.099006600008579,0.016777493059635162,10.20161058918285,-18.602359435179753
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,64.29244410002138,0.015964115038514137,9.425497555793868,-19.034003994731226
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,9.966616399993654,0.01677853986620903,10.205146115217605,-18.601817982874046
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,61.45340060000308,0.015965057536959648,9.427320337381643,-19.033491763908167
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,9.794043100002455,0.0167867261916399,10.228861418962815,-18.597580746245995
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,65.85725990001811,0.015973612666130066,9.440797534687123,-19.028838153707433
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,10.032390400010627,0.016873477026820183,10.436558505459649,-18.55280974710587
14,fake_and_real_strawberries,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,62.6493076000188,0.016057906672358513,9.597227085259462,-18.983122773571573
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",Clean,999.0,Tucker,13338,18.35135030001402,0.01930871792137623,8.522363412285824,-13.329036023029289
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",Clean,999.0,NTD-PL,13343,62.36498019998544,0.01754291169345379,10.084147369960679,-14.16207115566133
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",40 dB,40.0,Tucker,13338,9.923769999993965,0.019308745861053467,8.52246559020309,-13.329023139076792
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",40 dB,40.0,NTD-PL,13343,64.12751519997255,0.017542917281389236,10.083751904117962,-14.162067780913192
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",30 dB,30.0,Tucker,13338,9.778090400010115,0.019309043884277344,8.52520934044081,-13.328889078595854
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",30 dB,30.0,NTD-PL,13343,61.3916198000079,0.017543667927384377,10.085994991853802,-14.161696996434031
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",20 dB,20.0,Tucker,13338,9.697518700006185,0.01931176148355007,8.542031889137851,-13.327666359456236
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",20 dB,20.0,NTD-PL,13343,66.1330895999854,0.017545849084854126,10.095685245240983,-14.160617303866093
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",10 dB,10.0,Tucker,13338,10.038188600010471,0.019345514476299286,8.71886297094057,-13.31249910810375
15,fake_and_real_sushi,"(512, 512)","(12, 12, 6)",10 dB,10.0,NTD-PL,13343,62.48748399998294,0.017585456371307373,10.143562911999446,-14.141031704313296
