scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
9,fake_and_real_beers,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.014372524805366993,1.172218918800354,0.3040470053729836,155.0712444944043,45.02306504064562,0.36481399997137487,0.000888204368275911,0.9898089933829577,0.028135803728643605,-0.020418193567850608,
9,fake_and_real_beers,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.014372524805366993,1.172218918800354,0.3040470053729836,915.2886591174762,198.46279078211225,0.38255849992856383,0.0008068292718467231,0.9914781539287301,0.019625076548853652,-0.005167137525651258,-0.00852138125674541
10,fake_and_real_food,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.11622657626867294,1.1496351957321167,0.06975202825253339,48.07504759744611,6.202326618686322,0.26754850009456277,0.0005593547988602065,0.9827159822043253,0.03562478028148601,,
10,fake_and_real_food,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.11622657626867294,1.1496351957321167,0.06975202825253339,233.73219412458715,23.127558191570557,0.2961409999988973,0.0018632085563859927,0.9151036146350155,0.35479112849430644,-0.33821379006857216,
10,fake_and_real_food,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.11622657626867294,1.1496351957321167,0.06975202825253339,1085.8245419952982,86.44799895828163,0.36239759996533394,0.0035699201749820157,0.7983382134330255,1.2891736476692968,-2.48312448666264,1.4375777732631232
11,fake_and_real_lemon_slices,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.1008547842502594,1.0909473896026611,0.06789593696227035,70.0635382254593,6.131314040193806,0.3292080999817699,0.0009857881730992995,0.9663032847456299,0.09271059632608353,,
11,fake_and_real_lemon_slices,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.1008547842502594,1.0909473896026611,0.06789593696227035,348.47245967170454,19.408053656945295,0.3532612998969853,0.0013416385377609738,0.9481377258676408,0.19975730402878145,-0.14191502496209116,
11,fake_and_real_lemon_slices,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.1008547842502594,1.0909473896026611,0.06789593696227035,1739.401202749766,68.66720501249216,0.42732519982382655,0.00287398782133762,0.8459266921836001,1.1303615701741403,-2.588054249484734,1.8354645412293376
12,fake_and_real_lemons,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.03772859647870064,1.1105841398239136,0.08161250988005139,57.18651571575359,7.5461664128458015,0.286391600035131,9.393709658025176e-05,0.9973766488908399,0.0057300284930430585,,
12,fake_and_real_lemons,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.03772859647870064,1.1105841398239136,0.08161250988005139,349.3744162438966,31.439032570676844,0.29273599991574883,0.00031647485415393293,0.9861519784459405,0.06642584586401662,-0.07605943819930412,
12,fake_and_real_lemons,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.03772859647870064,1.1105841398239136,0.08161250988005139,1418.9680935956524,97.63449428328437,0.4023674998898059,0.0006349642324899066,0.9664590071517623,0.2289229545743606,-0.47938949361092287,0.30270429956620104
13,fake_and_real_peppers,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.06459661573171616,1.1730552911758423,0.07690012048126647,41.32828472713551,6.105673092022181,0.28183840005658567,0.0003649167758838772,0.9908205381356031,0.017687412046924436,,
13,fake_and_real_peppers,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.06459661573171616,1.1730552911758423,0.07690012048126647,181.59525286706565,22.265560142465347,0.3206377001479268,0.0009629395977094755,0.9617883970369941,0.13421692081615613,-0.10561629429678106,
13,fake_and_real_peppers,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.06459661573171616,1.1730552911758423,0.07690012048126647,952.4472716940289,96.76075116387496,0.3632878998760134,0.0011823499052377013,0.9478478339600213,0.23396163822055474,-0.31388073196846467,0.1250925582842791
14,fake_and_real_strawberries,0,0.3,tucker_polycal_p2,2,1e-06,5689862,-0.054887063801288605,1.0970408916473389,0.07306591563827242,59.04034918325015,7.405427533624288,0.2722634000238031,0.00017869096405684812,0.9947454841949986,0.011249177270788715,,
14,fake_and_real_strawberries,0,0.3,tucker_polycal_p3,3,1e-06,5689862,-0.054887063801288605,1.0970408916473389,0.07306591563827242,487.71340337904644,40.75573449024258,0.29961870005354285,0.0006852702161098776,0.9662011126904696,0.18045209690493622,-0.22247497053009352,
14,fake_and_real_strawberries,0,0.3,tucker_polycal_p4,4,1e-06,5689862,-0.054887063801288605,1.0970408916473389,0.07306591563827242,2179.444343401965,131.24840086044503,0.37753530009649694,0.0010552955798481933,0.9396816685245829,0.4452493676180281,-1.0194439072781032,0.7270404143735044
